,model,Brand,os,rating,price,ProcessorName,ProcessorNoCores,ProcessorSpeed,RamSize,RomSize,BatteryCapacity,DisplaySize,DisplayRefreshRate,ExternalCardSupport,3G,4G,G5,Vo5G,SingleSim,DualSim,VoLTE,IRBlaster,Wi-Fi,NFC,TotalMpCameras,log_price
14,Samsung Galaxy S23 Ultra 5G,Samsung,Android,,114990.0,Snapdragon 8 Gen2,8,3.2,8.0,224.0,5000.0,6.8,120,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,76.0,11.65260044704271
29,OnePlus 11 Pro,OnePlus,Android,,69999.0,Snapdragon  8 Gen2,8,3.2,8.0,128.0,4500.0,6.7,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,146.0,11.156236235215168
37,Samsung Galaxy S22 Ultra 5G,Samsung,Android,,91999.0,Snapdragon  8 Gen1,8,2.2,12.0,224.0,5000.0,6.8,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,104.0,11.429532986406885
49,Samsung Galaxy A74 5G,Samsung,Android,,42999.0,Snapdragon 7 Gen1,8,2.36,8.0,128.0,5000.0,6.7,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,96.0,10.668932138591325
69,Oppo Find N Fold,Oppo,Android,,99990.0,Snapdragon  8+ Gen1,8,3.2,8.0,224.0,5000.0,7.1,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,114.0,11.512825459969894
75,Gionee G13 Pro,Gionee,Otro SO,,6190.0,Tiger  T310,4,2.2,4.0,32.0,3500.0,6.26,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,18.0,8.730690365678642
89,Samsung Galaxy A73 5G,Samsung,Android,,41999.0,Snapdragon 778G,8,2.4,8.0,128.0,5000.0,6.7,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,96.0,10.645401087458245
93,Vivo X90 Pro Plus 5G,Vivo,Android,,73999.0,Snapdragon 8 Gen2,8,3.2,12.0,224.0,4700.0,6.78,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,35.0,11.211806858581484
98,Vivo X Fold 5G,Vivo,Android,,106990.0,Snapdragon 8 Gen1,8,2.2,12.0,224.0,4600.0,8.03,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,66.0,11.580490651132653
105,Xiaomi 13 Pro 5G,Xiaomi,Android,,58990.0,Snapdragon 8 Gen2,8,3.2,8.0,128.0,4820.0,6.73,120,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,135.0,10.98512321699712
